DETECTEDID,FirstRecord,N,LastRecord
A69-1601-39438,11/16/2015,4173,02/05/2016
A69-1601-39418,11/13/2015,3148,02/19/2016
A69-1601-39428,11/13/2015,2469,01/17/2016
A69-1601-39446,11/13/2015,2235,03/02/2016
A69-1601-39426,11/13/2015,1846,05/09/2016
A69-1601-39423,11/13/2015,1519,01/07/2016
A69-1601-39445,11/13/2015,1434,03/16/2016
A69-1601-39424,11/14/2015,1134,02/22/2016
A69-1601-39420,11/13/2015,968,03/22/2016
A69-1601-39432,11/15/2015,932,12/30/2015
A69-1601-39443,11/15/2015,496,04/10/2016
A69-1601-39425,11/14/2015,411,03/20/2016
A69-1601-39433,11/14/2015,406,12/03/2015
A69-1601-39441,11/13/2015,370,11/30/2015
A69-1601-39436,11/13/2015,367,03/23/2016
A69-1601-39447,11/13/2015,320,12/19/2015
A69-1601-39429,11/14/2015,172,12/01/2015
A69-1601-39422,11/15/2015,147,12/28/2015
A69-1601-39431,11/13/2015,145,01/15/2016
A69-1601-39437,12/17/2015,89,05/16/2016
A69-1601-39444,11/18/2015,79,02/01/2016
A69-1601-39440,11/14/2015,77,01/21/2016
A69-1601-39419,12/17/2015,62,03/05/2016
A69-1601-39442,11/14/2015,29,12/17/2015
A69-1601-39439,12/17/2015,24,01/02/2016
A69-1601-39434,12/17/2015,22,01/02/2016
A69-1601-39430,12/17/2015,18,01/02/2016
A69-1601-39427,12/17/2015,12,01/02/2016
A69-1601-39435,11/15/2015,8,11/20/2015
A69-1601-39421,11/16/2015,4,11/25/2015
